§content§|§start§|§end§|§group§|§title§|§className§|§type§
§Tours§|§1980§|§2000-07-01§|§§|§§|§tours§|§background§
§Paris§|§2000-09-01§|§2004-07-31§|§§|§§|§paris§|§background§
§Madrid§|§2004-09-01§|§2005-07-31§|§§|§§|§madrid§|§background§
§Paris§|§2005-09-01§|§2019-07-31§|§§|§§|§paris§|§background§
§Tours§|§2019-09-01§|§2021-07-01§|§§|§§|§tours§|§background§
§PCSI - PSI§|§1998-09-01§|§2000-07-01§|§Formations§|§<img style="width:auto;height:60px;" src="https://diplomeo-static.com/data/school/logo/300x120/3271.png"><br/>Classes préparatoires aux concours des écoles d'ingénieur - Lycées Descartes et Vaucanson (Tours).§|§green§|
§ISEP§|§2000-09-01§|§2003-07-01§|§Formations§|§<img style="width:auto;height:60px;" src="https://www.isep.fr/wp-content/themes/isep/img/logo_isep.svg"/><br/>Institut Supérieur d'Electronique de Paris - Cycle Ingénieur§|§green§|
§DEA STN§|§2003-09-01§|§2004-06-30§|§Formations§|§<img style="width:auto;height:60px;" src="https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Logo_T%C3%A9l%C3%A9com_ParisTech.svg/800px-Logo_T%C3%A9l%C3%A9com_ParisTech.svg.png"/><br/> Diplôme d'Etudes Approfondies - Systèmes de Transmissions Numériques / ENST§|§green§|
§Master Informatica Grafica§|§2004-09-01§|§2005-06-30§|§Formations§|§<img style="width:auto;height:60px;" src="https://www.ucm.es/themes/ucm16/media/img/logo.png"/><br/>Master Informatica Grafica / UCM - Universidad Complutense de Madrid§|§green§|
§Stage SFR§|§2003-02-01§|§2003-07-01§|§Expériences Professionnelles§|§Mise en place de KPI sur les premiers réseaux UMTS§|§blue§|
§Stage France Telecom§|§2004-03-01§|§2004-06-30§|§Expériences Professionnelles§|§Développement d'un outil de gestion des clusters du réseau fixe France Telecom§|§blue§|
